rowid_test,type,feature,value,approach,dataset_name,syn_name,run_model,model_name,timestamp
5091,real,has_nurs,0.129845863288594,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5100,real,has_nurs,0.0793219390806172,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5101,real,has_nurs,0.0839441430753087,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5102,real,has_nurs,0.096420052594761,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5103,real,has_nurs,0.0710040868003957,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5104,real,has_nurs,0.100111599200469,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5114,real,has_nurs,0.121903032364566,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5115,real,has_nurs,0.113248535363874,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5118,real,has_nurs,0.0680558573481541,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5121,real,has_nurs,0.0940546583190858,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5123,real,has_nurs,0.106201423208347,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5124,real,has_nurs,0.125579958661722,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5133,real,has_nurs,0.122123986816023,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5134,real,has_nurs,0.104967639536502,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5136,real,has_nurs,0.124135605824,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5143,real,has_nurs,0.178958574950519,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5161,real,has_nurs,0.144007584383692,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5165,real,has_nurs,0.146634253701712,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5168,real,has_nurs,0.0984077019336222,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5170,real,has_nurs,0.112084934116005,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5178,real,has_nurs,0.12304609661777,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5179,real,has_nurs,0.120751127469706,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5186,real,has_nurs,0.137390474550077,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
6256,real,has_nurs,0.0863137583530238,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
6482,real,has_nurs,0.0115810567128544,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
6496,real,has_nurs,0.00953277725094802,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
6497,real,has_nurs,0.00408135923531603,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
6511,real,has_nurs,0.0135856811614024,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
6514,real,has_nurs,0.00710424920698035,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
6627,real,has_nurs,0.0172235612351746,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
